name,kind,year,price,fuel_kind,km/l,car_output,torque,cc,engine,driving_system,gear,full_length,full_height,full_width,range
아우디 Q8,준대형 SUV,2023,"12,284만원",가솔린,"복합 8.2km/ℓ 도심 7.4, 고속 9.4",340hp 엔진,51kg.m 엔진,"2,995cc",V6 싱글터보,AWD,자동8단,"5,005mm","1,750mm","1,995mm","2,996mm"
메르세데스-벤츠 GLB클래스,준중형 SUV,2023,"6,010~6,890만원","가솔린, 디젤","복합 9.9~14.2km/ℓ 도심 8.8~13, 고속 11.9~16",150~224hp 엔진,32.6~35.7kg.m 엔진,"1,950~1,991cc",I4 싱글터보,"FF, AWD",DCT8단,"4,640~4,650mm","1,695~1,700mm","1,835~1,845mm","2,830mm"
BMW 4시리즈 컨버터블,중형 컨버터블,2024,"7,490~9,540만원",가솔린,"복합 9.6~11.4km/ℓ 도심 8.2~10.1, 고속 12.1~13.7",184~387hp 엔진,30.6~51kg.m 엔진,"1,998~2,998cc","I4, I6 싱글터보","FR, AWD",자동8단,"4,770mm","1,385mm","1,845mm","2,850mm"
아우디 Q3,준중형 SUV,2023,"4,857~5,546만원","가솔린, 디젤","복합 9.9~14.8km/ℓ 도심 8.8~13.4, 고속 11.7~16.9",150~186hp 엔진,30.5~36.7kg.m 엔진,"1,968~1,984cc",I4 싱글터보,"FF, AWD","자동7단, DCT7단","4,485~4,495mm","1,615~1,620mm","1,850mm","2,680mm"
메르세데스-벤츠 AMG SL클래스,스포츠카 컨버터블,2023,"23,500~26,000만원",가솔린,"복합 6.3km/ℓ 도심 5.3, 고속 8.3",585hp 엔진,81.5kg.m 엔진,"3,982cc",V8 트윈터보,AWD,자동9단,"4,705mm","1,365mm","1,915mm","2,700mm"
캐딜락 XT6,준대형 SUV,2023,"8,441만원",가솔린,"복합 8.3km/ℓ 도심 7.1, 고속 10.5",314hp 엔진,37.5kg.m 엔진,"3,649cc",V6 자연흡기,AWD,자동9단,"5,050mm","1,750mm","1,965mm","2,863mm"
기아 니로 플러스,소형 SUV,2024,"4,755~4,850만원",전기,392km 1회 충전 시,"복합 5.3km/kWh 도심 6, 고속 4.7",150kW 모터 201hp (단순환산치),395Nm 모터 40.3kg.m (단순환산치),64kWh 배터리,FF,자동1단,"4,385mm","1,640mm","1,805mm","2,700mm"
아우디 A4,중형 세단,2023,"5,316~6,592만원","가솔린, 디젤","복합 10.6~16.9km/ℓ 도심 9.5~15.3, 고속 12.3~19.4",163~265hp 엔진,32.6~40.8kg.m 엔진,"1,968~1,984cc",I4 싱글터보,"FF, AWD",자동7단,"4,770mm","1,430mm","1,845mm","2,822mm"
롤스로이스 컬리넌,대형 SUV,2019,"46,900만원",가솔린,"복합 5.6km/ℓ 도심 4.7, 고속 7.4",571hp 엔진,86.7kg.m 엔진,"6,749cc",V12 트윈터보,AWD,자동8단,"5,341mm","1,835mm","2,164mm","3,295mm"
메르세데스-벤츠 EQS SUV,대형 SUV,2023,"15,410~18,680만원",전기,447~459km 1회 충전 시,"복합 3.5~3.6km/kWh 도심 3.6~3.7, 고속 3.4~3.5",265~400kW 모터 355~536hp (단순환산치),800~858Nm 모터 81.6~87.5kg.m (단순환산치),107.1kWh 배터리,AWD,자동1단,"5,125~5,135mm","1,718~1,720mm","1,959mm","3,210mm"
푸조 e-2008,소형 SUV,2023,"5,290~5,490만원",전기,260km 1회 충전 시,"복합 4.9km/kWh 도심 5.2, 고속 4.5",100kW 모터 134hp (단순환산치),260Nm 모터 26.5kg.m (단순환산치),50kWh 배터리,FF,CVT,"4,305mm","1,550mm","1,770mm","2,605mm"
BMW iX,준대형 SUV,2023,"14,440만원",전기,447km 1회 충전 시,"복합 3.6km/kWh 도심 3.5, 고속 3.6",390kW 모터 523hp (단순환산치),765Nm 모터 78.0kg.m (단순환산치),111.5kWh 배터리,AWD,자동1단,"4,955mm","1,695mm","1,965mm","3,000mm"
푸조 408,중형 SUV,2023,"4,290~4,690만원",가솔린,"복합 12.9km/ℓ 도심 11.5, 고속 15",131hp 엔진,23.5kg.m 엔진,"1,199cc",I4 싱글터보,FF,자동8단,"4,700mm","1,485mm","1,850mm","2,790mm"
시트로엥 C4 칵투스,소형 SUV,2021,"3,238만원",디젤,"복합 15.5km/ℓ 도심 14.4, 고속 17.1",120hp 엔진,30.6kg.m 엔진,"1,499cc",I4 싱글터보,FF,자동6단,"4,170mm","1,530mm","1,730mm","2,595mm"
현대 넥쏘,중형 SUV,2024,"6,950만원","전기, 수소",609km 1회 충전 시,"복합 96.2km/kg 도심 99.5, 고속 92.6",113kW 모터 151hp (단순환산치),395Nm 모터 40.3kg.m (단순환산치),156.6kWh 배터리,FF,자동1단,"4,670mm","1,630mm","1,860mm","2,790mm"
현대 코나,소형 SUV,2023,"2,486~3,323만원",가솔린,"복합 11.2~13.6km/ℓ 도심 10~12.6, 고속 13.1~15.5",149~198hp 엔진,I4 싱글터보,"1,598~1,999cc",I4 싱글터보,"AWD, FF","자동8단, CVT","4,350mm","1,580~1,590mm","1,825mm","2,660mm"
BMW 7시리즈 플러그인 하이브리드,대형 세단,2023,"18,940~19,240만원","전기, 가솔린, 하이브리드","복합 15km/ℓ 도심 14, 고속 16.3",489hp/313hp/145kW 합산/엔진/모터,71.4kg.m/45.8kg.m 합산/엔진,"2,998cc",I6 싱글터보,AWD,자동8단,"5,390mm","1,545mm","1,950mm","3,215mm"
푸조 308,준중형 해치백,2023,"3,950~4,350만원",디젤,"복합 17.2km/ℓ 도심 15.6, 고속 19.6",131hp 엔진,30.6kg.m 엔진,"1,499cc",I4 싱글터보,FF,자동8단,"4,380mm","1,455mm","1,830mm","2,680mm"
아우디 Q5,중형 SUV,2023,"6,888~7,411만원","가솔린, 디젤","복합 10.5~12.8km/ℓ 도심 9.5~11.5, 고속 12~14.9",204~265hp 엔진,37.7~40.7kg.m 엔진,"1,968~1,984cc",I4 싱글터보,AWD,자동7단,"4,680mm","1,665mm","1,895mm","2,819mm"
포드 익스플로러 하이브리드,준대형 SUV,2023,"8,195만원","가솔린, 하이브리드","복합 10.4km/ℓ 도심 10.1, 고속 10.8",323hp 합산,44.5kg.m 엔진,"3,339cc",V6 자연흡기,AWD,자동10단,"5,050mm","1,775mm","2,005mm","3,025mm"
포드 머스탱 컨버터블,스포츠카 컨버터블,2023,"5,745~7,335만원",가솔린,"복합 7.5~9.4km/ℓ 도심 6.2~8, 고속 10.1~12",291~446hp 엔진,44.9~54.1kg.m 엔진,"2,261~5,035cc","I4, V8 자연흡기",FR,자동10단,"4,790mm","1,400mm","1,915mm","2,720mm"
페라리 812 GTS,스포츠카 컨버터블,2020,"51,500만원",가솔린,"복합 5.3km/ℓ 도심 4.7, 고속 6.3",800hp 엔진,73.2kg.m 엔진,"6,496cc",V12 자연흡기,MR,DCT7단,"4,695mm","1,285mm","1,970mm","2,720mm"
폭스바겐 제타,준중형 세단,2023,"3,232~3,586만원",가솔린,"복합 14.1km/ℓ 도심 12.3, 고속 17.1",160hp 엔진,25.5kg.m 엔진,"1,498cc",I4 싱글터보,FF,자동8단,"4,740mm","1,465mm","1,800mm","2,686mm"
BMW 2시리즈 액티브 투어러,준중형 RV,2023,"4,350~4,970만원","가솔린, 디젤","복합 12.2~15.8km/ℓ 도심 10.8~14.2, 고속 14.6~18.2",150~204hp 엔진,30.6~36.7kg.m 엔진,"1,995~1,998cc",I4 싱글터보,FF,DCT7단,"4,385mm","1,575mm","1,825mm","2,670mm"
람보르기니 우라칸,스포츠카 쿠페,2022,"34,000만원",가솔린,"복합 도심 , 고속",640hp 엔진,57.6kg.m 엔진,"5,204cc",V10 자연흡기,MR,DCT7단,"4,311mm","1,220mm","1,945mm","2,620mm"
캠시스 CEVO-C SE,경형 해치백,2023,"1,520~1,570만원",전기,69~75km 1회 충전 시,"복합 6.3km/kWh 도심 6.7, 고속 5.8",14.8kW 모터 20hp (단순환산치),111Nm 모터 11.3kg.m (단순환산치),10.1kWh 배터리,RR,자동1단,"2,430mm","1,550mm","1,425mm","1,575mm"
현대 팰리세이드,준대형 SUV,2024,"3,896~5,491만원","가솔린, 디젤","복합 8.5~12.4km/ℓ 도심 7.6~11.3, 고속 10~14.1",202~295hp 엔진,36.2~45kg.m 엔진,"2,199~3,778cc","V6, I4 자연흡기","AWD, FF",자동8단,"4,995mm","1,750mm","1,975mm","2,900mm"
기아 EV6 GT,준중형 SUV,2023,"7,200만원",전기,342km 1회 충전 시,"복합 3.9km/kWh 도심 4.2, 고속 3.6",430kW 모터 576hp (단순환산치),740Nm 모터 75.5kg.m (단순환산치),77.4kWh 배터리,AWD,자동1단,"4,695mm","1,545mm","1,890mm","2,900mm"
페라리 F8 트리뷰토,스포츠카 쿠페,2019,"35,200만원",가솔린,"복합 6.6km/ℓ 도심 5.8, 고속 7.8",720hp 엔진,78.5kg.m 엔진,"3,902cc",V8 트윈터보,MR,DCT7단,"4,610mm","1,205mm","1,980mm","2,650mm"
쉐보레 콜로라도,준대형 트럭,2022,"4,050~4,889만원",가솔린,"복합 7.9~8.3km/ℓ 도심 7~7.3, 고속 9.3~10.1",312hp 엔진,38kg.m 엔진,"3,649cc",V6 자연흡기,"FR, 4WD",자동8단,"5,395mm","1,795mm","1,885mm","3,258mm"
아우디 S3 세단,준중형 세단,2023,"5,963만원",가솔린,"복합 10.4km/ℓ 도심 9.2, 고속 12.5",310hp 엔진,40.7kg.m 엔진,"1,984cc",I4 싱글터보,AWD,자동7단,"4,505mm","1,420mm","1,815mm","2,630mm"
메르세데스-벤츠 AMG GT 4도어 쿠페,대형 쿠페,2023,"15,560~24,600만원",가솔린,"복합 6.7~8.2km/ℓ 도심 5.9~7.5, 고속 8.2~9.1",389~639hp 엔진,51~91.7kg.m 엔진,"2,999~3,982cc","I6, V8 트윈터보",AWD,자동9단,"5,055mm","1,455mm","1,955mm","2,950mm"
BMW iX3,중형 SUV,2023,"7,740만원",전기,344km 1회 충전 시,"복합 4.1km/kWh 도심 4.2, 고속 3.9",210kW 모터 281hp (단순환산치),400Nm 모터 40.8kg.m (단순환산치),74kWh 배터리,RR,자동1단,"4,735mm","1,670mm","1,890mm","2,865mm"
BMW M3 투어링,중형 왜건,2023,"13,490~14,360만원",가솔린,"복합 8.1km/ℓ 도심 7, 고속 9.9",510hp 엔진,66.3kg.m 엔진,"2,993cc",I6 트윈터보,AWD,자동8단,"4,800mm","1,445mm","1,905mm","2,855mm"
메르세데스-벤츠 GLE 쿠페,준대형 SUV,2023,"13,420만원",디젤,"복합 10.5km/ℓ 도심 9.8, 고속 11.5",330hp 엔진,71.4kg.m 엔진,"2,925cc",I6 싱글터보,AWD,자동9단,"4,945mm","1,715mm","2,015mm","2,995mm"
기아 스포티지 하이브리드,준중형 SUV,2023,"3,188~3,999만원","가솔린, 하이브리드","복합 15.2~16.7km/ℓ 도심 15.4~17.4, 고속 14.9~15.9",230hp/180hp 합산/엔진,35.7kg.m/27kg.m 합산/엔진,"1,598cc",I4 싱글터보,"FF, AWD",자동6단,"4,660mm","1,665~1,680mm","1,865mm","2,755mm"
BMW 5시리즈,준대형 세단,2023,"6,600~12,040만원","가솔린, 디젤","복합 7.9~15.6km/ℓ 도심 6.7~14.4, 고속 10~17.7",184~530hp 엔진,29.6~76.5kg.m 엔진,"1,995~4,395cc","I4, V8 트윈터보","FR, AWD",토크컨버터8단,"4,965mm","1,445~1,480mm","1,870mm","2,975mm"
렉서스 LC,스포츠카 쿠페,2023,"18,170만원",가솔린,"복합 7.7km/ℓ 도심 6.4, 고속 10.3",477hp 엔진,55.1kg.m 엔진,"4,969cc",V8 자연흡기,FR,자동10단,"4,760mm","1,345mm","1,920mm","2,870mm"
링컨 네비게이터,대형 SUV,2023,"15,200만원",가솔린,"복합 7.2km/ℓ 도심 6.4, 고속 8.4",446hp 엔진,71kg.m 엔진,"3,496cc",V6 트윈터보,4WD,자동10단,"5,335mm","1,940mm","2,075mm","3,110mm"
렉서스 LS,대형 세단,2023,"13,383~15,813만원",가솔린,"복합 7.9km/ℓ 도심 6.5, 고속 10.7",422hp 엔진,61.2kg.m 엔진,"3,445cc",V6 트윈터보,AWD,자동10단,"5,235mm","1,460mm","1,900mm","3,125mm"
DS 3 크로스백 E-텐스,소형 SUV,2022,"5,790만원",전기,260km 1회 충전 시,"복합 4.9km/kWh 도심 5.2, 고속 4.5",100kW 모터 134hp (단순환산치),260Nm 모터 26.5kg.m (단순환산치),50kWh 배터리,FF,CVT,"4,120mm","1,550mm","1,790mm","2,560mm"
르노 마스터,대형 밴,2022,"3,685~3,845만원",디젤,"복합 10.5~11km/ℓ 도심 10.7~11, 고속 10.3~11.1",150hp 엔진,39.3kg.m 엔진,"2,299cc",I4 트윈터보,FF,수동6단,"5,075~5,575mm","2,300~2,500mm","2,075mm","3,185~3,685mm"
현대 쏘나타,중형 세단,2024,"2,808~3,917만원","LPG, 가솔린","복합 9.4~13.5km/ℓ 도심 8.2~11.9, 고속 11.5~15.9",146~290hp 엔진,19.5~43kg.m 엔진,"1,598~2,497cc",I4 싱글터보,FF,"자동, DCT8단","4,910mm","1,445mm","1,860mm","2,840mm"
아우디 A8 L,대형 세단,2023,"15,252~19,742만원","가솔린, 디젤","복합 7.4~11.2km/ℓ 도심 6.1~9.7, 고속 9.9~13.8",286~460hp 엔진,50.9~67.3kg.m 엔진,"2,967~3,996cc","V6, V8 트윈터보",AWD,자동8단,"5,320mm","1,500~1,520mm","1,945mm","3,128mm"
아우디 Q5 스포트백,중형 SUV,2023,"7,182~7,722만원","가솔린, 디젤","복합 10.2~13km/ℓ 도심 9.1~12.2, 고속 12~14.3",204~265hp 엔진,37.7~40.7kg.m 엔진,"1,968~1,984cc",I4 싱글터보,AWD,자동7단,"4,690mm","1,660mm","1,895mm","2,820mm"
포르쉐 911 카레라 GTS 카브리올레,스포츠카 컨버터블,2022,"21,070~21,990만원",가솔린,"복합 7.9~8.1km/ℓ 도심 7~7.2, 고속 9.4",483hp 엔진,58.2kg.m 엔진,"2,981cc",F6 트윈터보,"RR, AWD",DCT8단,"4,535mm","1,300mm","1,850mm","2,450mm"
랜드로버 레인지로버 벨라,중형 SUV,2023,"9,710~11,860만원",가솔린,"복합 8.6~8.9km/ℓ 도심 8, 고속 9.5~10.4",249~400hp 엔진,37.2~56.1kg.m 엔진,"1,997~2,996cc","I4, I6 트윈터보",AWD,자동8단,"4,797mm","1,683mm","1,930mm","2,874mm"
람보르기니 우루스 퍼포만테,대형 SUV,2023,가솔린,"복합 도심 , 고속",666hp 엔진,86.7kg.m 엔진,"3,996cc",V8 트윈터보,AWD,자동8단,"5,137mm","1,618mm","2,026mm","3,006mm",
아우디 e-트론 S 스포트백,준대형 SUV,2023,"14,060만원",전기,264km 1회 충전 시,"복합 2.7km/kWh 도심 2.6, 고속 2.8",370kW 모터 496hp (단순환산치),973Nm 모터 99.2kg.m (단순환산치),95kWh 배터리,AWD,자동1단,"4,900mm","1,670mm","1,975mm","2,928mm"
미니 해치백 S 5도어,소형 해치백,2024,"4,790만원",가솔린,"복합 12.6km/ℓ 도심 11, 고속 15.3",192hp 엔진,28.6kg.m 엔진,"1,998cc",I4 싱글터보,FF,DCT7단,"4,035mm","1,425mm","1,725mm","2,565mm"
아우디 RS e-트론 GT,준대형 쿠페,2022,"20,632만원",전기,336km 1회 충전 시,"복합 3.4km/kWh 도심 3.3, 고속 3.4",475kW 모터 637hp (단순환산치),831Nm 모터 84.8kg.m (단순환산치),93.4kWh 배터리,AWD,자동2단,"4,990mm","1,400mm","1,965mm","2,900mm"
현대 투싼 하이브리드,준중형 SUV,2023,"3,027~3,777만원","가솔린, 하이브리드","복합 15.8~16.2km/ℓ 도심 16.7~16.9, 고속 14.8~15.3",230hp/180hp 합산/엔진,35.7kg.m/27kg.m 합산/엔진,"1,598cc",I4 싱글터보,FF,자동6단,"4,630~4,640mm","1,665mm","1,865mm","2,755mm"
벤틀리 벤테이가,대형 SUV,2023,"29,600~30,500만원",가솔린,"복합 6.7km/ℓ 도심 6, 고속 7.8",550hp 엔진,78.5kg.m 엔진,"3,996cc",V8 트윈터보,AWD,자동8단,"5,144mm","1,730mm","1,998mm","2,995mm"
미니 컨트리맨 JCW,소형 SUV,2024,"6,450만원",가솔린,"복합 10.4km/ℓ 도심 9.1, 고속 12.7",306hp 엔진,45.9kg.m 엔진,"1,998cc",I4 싱글터보,AWD,자동8단,"4,295mm","1,555mm","1,820mm","2,670mm"
미니 클럽맨 JCW,소형 왜건,2024,"6,230만원",가솔린,"복합 9.7km/ℓ 도심 8.6, 고속 11.6",306hp 엔진,45.9kg.m 엔진,"1,998cc",I4 싱글터보,AWD,자동8단,"4,265mm","1,440mm","1,800mm","2,670mm"
메르세데스-벤츠 EQA,준중형 SUV,2023,"6,750~7,450만원",전기,378km 1회 충전 시,"복합 4.9km/kWh 도심 5.5, 고속 4.4",140kW 모터 188hp (단순환산치),375Nm 모터 38.2kg.m (단순환산치),66.5kWh 배터리,FF,자동1단,"4,465mm","1,625mm","1,835mm","2,729mm"
미니 해치백 SE,소형 해치백,2024,"5,210만원",전기,159km 1회 충전 시,"복합 4.5km/kWh 도심 4.8, 고속 4.2",137kW 모터 184hp (단순환산치),270Nm 모터 27.5kg.m (단순환산치),32.6kWh 배터리,FF,자동1단,"3,850mm","1,430mm","1,725mm","2,495mm"
포르쉐 박스터 GTS,스포츠카 컨버터블,2021,"12,140~13,180만원",가솔린,"복합 8.4km/ℓ 도심 , 고속",407hp 엔진,43.9kg.m 엔진,"3,995cc",F6 자연흡기,MR,DCT7단,"4,390mm","1,275mm","1,800mm","2,475mm"
애스턴마틴 밴티지,스포츠카 쿠페,2019,"19,800만원",가솔린,"복합 7km/ℓ 도심 , 고속",503hp 엔진,69.8kg.m 엔진,"3,980cc",V8 트윈터보,FR,자동8단,"4,465mm","1,273mm","2,153mm","2,704mm"
폭스바겐 티구안,준중형 SUV,2021,"4,313~4,902만원",디젤,"복합 13.4~15.6km/ℓ 도심 12.3~14.2, 고속 15~17.6",150hp 엔진,36.7kg.m 엔진,"1,968cc",I4 싱글터보,"FF, AWD",DCT7단,"4,510mm","1,635~1,645mm","1,840mm","2,680mm"
메르세데스-벤츠 AMG G클래스,중형 SUV,2022,"23,800~29,410만원",가솔린,"복합 5.8km/ℓ 도심 5.4, 고속 6.5",585hp 엔진,86.6kg.m 엔진,"3,982cc",V8 트윈터보,AWD,자동9단,"4,880mm","1,970mm","1,985mm","2,890mm"
KG 모빌리티 코란도,준중형 SUV,2023,"2,445~3,010만원",가솔린,"복합 10.5~11.5km/ℓ 도심 9.6~10.5, 고속 11.8~13",170hp 엔진,28.6kg.m 엔진,"1,497cc",I4 싱글터보,"FF, AWD",자동6단,"4,450mm","1,630mm","1,870mm","2,675mm"
BMW X4,중형 SUV,2023,"6,780~9,920만원","가솔린, 디젤","복합 8.5~12.3km/ℓ 도심 7.6~11.2, 고속 10.1~14.1",184~387hp 엔진,29.5~51kg.m 엔진,"1,995~2,998cc","I4, I6 싱글터보",AWD,자동8단,"4,750mm","1,620mm","1,920~1,940mm","2,865mm"
캐딜락 XT4,준중형 SUV,2023,"5,851만원",가솔린,"복합 10km/ℓ 도심 8.8, 고속 11.8",238hp 엔진,35.7kg.m 엔진,"1,998cc",I4 싱글터보,AWD,자동9단,"4,595mm","1,610mm","1,880mm","2,779mm"
제네시스 G70 슈팅브레이크,중형 왜건,2023,"4,545~4,792만원",가솔린,"복합 10.1~10.9km/ℓ 도심 9.1~9.7, 고속 11.7~12.7",304hp 엔진,43kg.m 엔진,"2,497cc",I4 싱글터보,"FR, AWD",자동8단,"4,685mm","1,400mm","1,850mm","2,835mm"
메르세데스-벤츠 마이바흐 GLS클래스,대형 SUV,2023,"26,200~29,990만원",가솔린,"복합 6.6km/ℓ 도심 6, 고속 7.7",557hp 엔진,74.4kg.m 엔진,"3,982cc",V8 트윈터보,AWD,자동9단,"5,215mm","1,840mm","2,030mm","3,135mm"
렉서스 RX 하이브리드,준대형 SUV,2023,"9,870만원","가솔린, 하이브리드","복합 13.6km/ℓ 도심 14.3, 고속 12.7",249hp/187hp 합산/엔진,24.6kg.m 엔진,"2,487cc",I4 자연흡기,AWD,CVT,"4,890mm","1,695mm","1,920mm","2,850mm"
토요타 캠리 하이브리드,중형 세단,2023,"3,900~4,520만원","가솔린, 하이브리드","복합 17.1~18.5km/ℓ 도심 17.3~18.8, 고속 16.8~18.2",211hp/178hp 합산/엔진,22.5kg.m 엔진,"2,487cc",I4 자연흡기,FF,CVT,"4,880~4,895mm","1,445mm","1,840mm","2,825mm"
렉서스 UX 하이브리드,준중형 SUV,2023,"5,090~5,860만원","가솔린, 하이브리드","복합 15~16.7km/ℓ 도심 15.6~17.2, 고속 14.4~16.2",183hp/146hp 합산/엔진,19.2kg.m 엔진,"1,987cc",I4 자연흡기,"FF, AWD",CVT,"4,495mm","1,520mm","1,840mm","2,640mm"
기아 EV6,준중형 SUV,2023,"4,870~6,242만원",전기,351~475km 1회 충전 시,"복합 4.6~5.6km/kWh 도심 5.1~6.4, 고속 4~4.9",125~239kW 모터 168~320hp (단순환산치),350~605Nm 모터 35.7~61.7kg.m (단순환산치),58~77.4kWh 배터리,"AWD, RR",자동1단,"4,680~4,695mm","1,550mm","1,880~1,890mm","2,900mm"
DS 3 크로스백,소형 SUV,2022,"4,330만원",디젤,"복합 15.6km/ℓ 도심 14.5, 고속 17",131hp 엔진,30.6kg.m 엔진,"1,499cc",I4 싱글터보,FF,자동8단,"4,120mm","1,550mm","1,770mm","2,560mm"
레디컬 SR1,스포츠카 컨버터블,2022,"9,990만원",가솔린,"복합 도심 , 고속",182hp 엔진,"1,340cc",l4 자연흡기,MR,S/T6단,"3,860mm","1,020mm","1,560mm",,
BMW 8시리즈 그란쿠페,대형 쿠페,2023,"13,910~14,810만원",가솔린,"복합 7.7km/ℓ 도심 6.6, 고속 9.6",530hp 엔진,76.5kg.m 엔진,"4,395cc",V8 트윈터보,AWD,자동8단,"5,075mm","1,410mm","1,930mm","3,023mm"
대창모터스 다니고 L,준중형 트럭,2023,"4,280만원",전기,200km 1회 충전 시,"복합 도심 , 고속",60kW 모터 80hp (단순환산치),57.7kWh 배터리,RR,자동1단,"4,900mm","1,920mm","1,635mm","3,050mm",
포드 레인저,준대형 트럭,2023,"6,350만원",디젤,"복합 10.1km/ℓ 도심 9.1, 고속 11.7",205hp 엔진,51kg.m 엔진,"1,996cc",I4 트윈터보,4WD,자동10단,"5,370mm","1,920mm","1,885mm","3,270mm"
아우디 e-트론 스포트백,준대형 SUV,2023,"12,250만원",전기,304km 1회 충전 시,"복합 3.1km/kWh 도심 3.1, 고속 3.2",300kW 모터 402hp (단순환산치),664Nm 모터 67.7kg.m (단순환산치),95kWh 배터리,AWD,자동1단,"4,900mm","1,675mm","1,935mm","2,928mm"
폭스바겐 골프,준중형 해치백,2022,"3,625~3,782만원",디젤,"복합 17.8km/ℓ 도심 15.7, 고속 21.3",150hp 엔진,36.7kg.m 엔진,"1,968cc",I4 싱글터보,FF,DCT7단,"4,285mm","1,455mm","1,790mm","2,636mm"
기아 모닝,경형 해치백,2024,"1,290~1,655만원",가솔린,"복합 15.1km/ℓ 도심 13.8, 고속 16.9",76hp 엔진,9.7kg.m 엔진,998cc,I3 자연흡기,FF,자동4단,"3,595mm","1,485mm","1,595mm","2,400mm"
토요타 시에나 하이브리드,대형 RV,2023,"7,050~7,060만원","가솔린, 하이브리드","복합 13.7~14.5km/ℓ 도심 14.1~15, 고속 13.3~14",246hp/189hp 합산/엔진,24.1kg.m 엔진,"2,487cc",I4 자연흡기,"AWD, FF",CVT,"5,175mm","1,775mm","1,995mm","3,060mm"
시트로엥 C5 에어크로스,준중형 SUV,2021,"3,978~4,976만원",디젤,"복합 12.7~14.2km/ℓ 도심 11.8~13.6, 고속 14~15.1",131~177hp 엔진,30.6~40.8kg.m 엔진,"1,499~1,997cc",I4 싱글터보,FF,자동8단,"4,500mm","1,690mm","1,840mm","2,730mm"
현대 코나 일렉트릭,소형 SUV,2023,"4,452~5,092만원",전기,311~417km 1회 충전 시,"복합 4.8~5.5km/kWh 도심 5.2~6.1, 고속 4.4~5",99~150kW 모터 133~201hp (단순환산치),255Nm 모터 26.0kg.m (단순환산치),48.6~64.8kWh 배터리,FF,자동1단,"4,355mm","1,575~1,580mm","1,825mm","2,660mm"
제네시스 일렉트리파이드 G80,준대형 세단,2023,"8,392만원",전기,427km 1회 충전 시,"복합 4.3km/kWh 도심 4.5, 고속 4.1",272kW 모터 364hp (단순환산치),700Nm 모터 71.4kg.m (단순환산치),87.2kWh 배터리,AWD,자동1단,"5,005mm","1,475mm","1,925mm","3,010mm"
아우디 e-트론,준대형 SUV,2023,"11,650만원",전기,291km 1회 충전 시,"복합 3km/kWh 도심 3, 고속 3",300kW 모터 402hp (단순환산치),664Nm 모터 67.7kg.m (단순환산치),95kWh 배터리,AWD,자동1단,"4,900mm","1,685mm","1,935mm","2,928mm"
현대 아이오닉 5,준중형 SUV,2023,"5,005~6,132만원",전기,319~458km 1회 충전 시,"복합 4.7~5.2km/kWh 도심 5.3~5.9, 고속 4.2~4.5",125~239kW 모터 168~320hp (단순환산치),350~605Nm 모터 35.7~61.7kg.m (단순환산치),58~77.4kWh 배터리,"RR, AWD",자동1단,"4,635mm","1,605mm","1,890mm","3,000mm"
롤스로이스 컬리넌 블랙배지,대형 SUV,2020,"53,900만원",가솔린,"복합 5.4km/ℓ 도심 4.5, 고속 6.9",600hp 엔진,91.8kg.m 엔진,"6,749cc",V12 트윈터보,AWD,자동8단,"5,341mm","1,835mm","2,164mm","3,295mm"
현대 코나 하이브리드,소형 SUV,2023,"2,999~3,495만원","가솔린, 하이브리드","복합 18.1~19.8km/ℓ 도심 18.6~20.8, 고속 17.5~18.6",141hp/105hp 합산/엔진,14.7kg.m 엔진,"1,580cc",I4 싱글터보,FF,DCT6단,"4,350mm","1,580~1,585mm","1,825mm","2,660mm"
제네시스 GV70,중형 SUV,2022,"4,940~5,889만원","가솔린, 디젤","복합 8.5~13.5km/ℓ 도심 7.4~12.2, 고속 10.2~15.5",202~380hp 엔진,43~54kg.m 엔진,"2,151~3,470cc","I4, V6 트윈터보","FR, AWD",자동8단,"4,715mm","1,630mm","1,910mm","2,875mm"
디피코 포트로 EV 탑,경형 밴,2022,"2,112~2,233만원",전기,113km 1회 충전 시,"복합 4.2km/kWh 도심 5.1, 고속 3.4",15kW 모터 20hp (단순환산치),15.1kWh 배터리,RR,자동1단,"3,405mm","1,905mm","1,435mm","2,400mm",
BMW i4 그란쿠페,중형 쿠페,2024,"8,110만원",전기,429km 1회 충전 시,"복합 4.6km/kWh 도심 4.6, 고속 4.5",250kW 모터 335hp (단순환산치),430Nm 모터 43.9kg.m (단순환산치),84kWh 배터리,RR,자동1단,"4,785mm","1,450mm","1,850mm","2,855mm"
아우디 RS6 아반트,준대형 왜건,2023,"16,552만원",가솔린,"복합 7km/ℓ 도심 6.1, 고속 8.6",600hp 엔진,81.5kg.m 엔진,"3,996cc",V8 트윈터보,AWD,자동8단,"4,995mm","1,500mm","1,950mm","2,929mm"
BMW M4,중형 쿠페,2024,"13,490만원",가솔린,"복합 8.3km/ℓ 도심 7.3, 고속 10.2",510hp 엔진,66.3kg.m 엔진,"2,993cc",I6 트윈터보,AWD,자동8단,"4,795mm","1,400mm","1,885mm","2,855mm"
페라리 로마,스포츠카 쿠페,2020,"32,000만원",가솔린,"복합 7.4km/ℓ 도심 6.5, 고속 9.1",620hp 엔진,77.5kg.m 엔진,"3,855cc",V8 트윈터보,FR,DCT8단,"4,715mm","1,300mm","1,975mm","2,670mm"
